Id,name,barcode,type,model,qty,qty_balance,price,price_yuan,supplier,branch,status,technicianId,machinery_no,replace_capacity,purchase_date,rental_rate,engine_model,serial_no,alternator_serial_no,capacity,min_litre,consumption,brand,engine_no,width,length,height,oem,description,balance_treshold,rack_no,maxTechhold,maxOrder,owner
149,SC150,SC150,GENSET,UD20F1,0,,0,0,,,Idle,0,SC150,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1209011,81,135,123,0,0,0,0,0,0,0
150,SC149,SC149,GENSET,UD50F3,0,,0,0,,,Idle,0,SC149,,12-Oct-13,0.00,F3L,,,30KVA,0,0,,91547,0,0,0,0,0,0,0,0,0,0
151,SC151,SC151,GENSET,UD50F3,0,,0,0,,,Idle,0,SC151,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91548,0,0,0,0,0,0,0,0,0,0
152,SC152,SC152,GENSET,UD50F3,0,,0,0,,,Idle,0,SC152,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91001,0,0,0,0,0,0,0,0,0,0
157,SC157,SC157,GENSET,UD20F1,0,,0,0,,,Idle,0,SC157,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402022,81,135,123,0,0,0,0,0,0,0
158,SC158,SC158,GENSET,UD20F1,0,,0,0,,,Idle,0,SC158,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501005,81,135,123,0,0,0,0,0,0,0
159,SC159,SC159,GENSET,UD20F1,0,,0,0,,,Idle,0,SC159,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1303122,81,135,123,0,0,0,0,0,0,0
160,SC160,SC160,GENSET,UD20F1,0,,0,0,,,Idle,0,SC160,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505131,81,135,123,0,0,0,0,0,0,0
162,SC162,SC162,GENSET,UD50F3,0,,0,0,,,Idle,0,SC162,,12-Oct-13,0.00,F3L,,,30KVA,0,0,,91533,0,0,0,0,0,0,0,0,0,0
163,SC163,SC163,GENSET,UD20F1,0,,0,0,,,Idle,0,SC163,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505122,81,135,123,0,0,0,0,0,0,0
164,SC164,SC164,GENSET,UD60FW,0,,0,0,,,Idle,0,SC164,,12-Oct-13,0.00,4DX23-65D,G1309077,,50KVA,0,0,,WA207092,90,228,124,0,0,0,0,0,0,0
167,SC167,SC167,GENSET,UD20F1,0,,0,0,,,Idle,0,SC167,,,0.00,F1L,,,10KVA,0,0,,1407127,81,135,123,0,0,0,0,0,0,0
171,SC171,SC171,GENSET,UD60FW,0,,0,0,,,Idle,0,SC171,,12-Oct-13,0.00,4DX23-65D,G1309076,,50KVA,0,0,,WA206003,90,228,124,0,0,0,0,0,0,0
172,SC172,SC172,GENSET,UD30IS,0,,0,0,,,Idle,0,SC172,,06-Jan-14,0.00,4JB1,25EXS-13110084,,25KVA,0,0,,D37967,90,228,123,0,0,0,0,0,0,0
173,SC173,SC173,GENSET,UD30IS,0,,0,0,,,Idle,0,SC173,,06-Jan-14,0.00,4JB1,25EXS-13110083,,25KVA,0,0,,D37973,90,228,123,0,0,0,0,0,0,0
174,SC174,SC174,GENSET,UD30IS,0,,0,0,,,Idle,0,SC174,,06-Jan-14,0.00,4JB1,25EXS-13110081,,25KVA,0,0,,D37971,90,228,123,0,0,0,0,0,0,0
175,SC175,SC175,GENSET,UD30IS,0,,0,0,,,Idle,0,SC175,,06-Jan-14,0.00,4JB1,25EXS-13110085,,25KVA,0,0,,D37969,90,228,123,0,0,0,0,0,0,0
